Data Category,Lower Bound,Upper Bound,Price per annum
Security Master,1,25,265
Security Master,26,50,535
Security Master,51,100,1070
Security Master,101,250,2675
Security Master,251,500,5355
Security Master,501,1000,10710
Security Master,1001,2500,26775
Security Master,2501,5000,53555
Security Master,5001,7500,80330
Pricing,1,25,53
Pricing,26,50,105
Pricing,51,100,210
Pricing,101,250,535
Pricing,251,500,1070
Pricing,501,1000,2140
Pricing,1001,2500,5355
Pricing,2501,5000,10710
Pricing,5001,7500,16065
Derived,1,25,80
Derived,26,50,160
Derived,51,100,320
Derived,101,250,800
Derived,251,500,1605
Derived,501,1000,3210
Derived,1001,2500,8030
Derived,2501,5000,16065
Derived,5001,7500,24100
Historical,1001,2500,16065